2018-10-08 12:24:57 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2018-10-08 12:24:57 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, 192.168.0.101, 50058, None)
2018-10-08 12:24:57 INFO  BlockManagerMasterEndpoint:54 - Registering block manager 192.168.0.101:50058 with 366.3 MB RAM, BlockManagerId(driver, 192.168.0.101, 50058, None)
2018-10-08 12:24:57 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, 192.168.0.101, 50058, None)
2018-10-08 12:24:57 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, 192.168.0.101, 50058, None)
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7ddcb0dc{/metrics/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  SharedState:54 - Setting hive.metastore.warehouse.dir ('null') to the value of spark.sql.warehouse.dir ('file:/Users/edoardo/Documents/BDMA/Data_Warehouses/Project/ddl/spark-warehouse/').
2018-10-08 12:24:57 INFO  SharedState:54 - Warehouse path is 'file:/Users/edoardo/Documents/BDMA/Data_Warehouses/Project/ddl/spark-warehouse/'.
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2ca3d826{/SQL,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5d194314{/SQL/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@463afa6e{/SQL/execution,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7b96de8d{/SQL/execution/json,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@640d604{/static/sql,null,AVAILABLE,@Spark}
2018-10-08 12:24:57 INFO  HiveUtils:54 - Initializing HiveMetastoreConnection version 1.2.1 using Spark classes.
2018-10-08 12:24:57 INFO  HiveClientImpl:54 - Warehouse location for Hive client (version 1.2.2) is file:/Users/edoardo/Documents/BDMA/Data_Warehouses/Project/ddl/spark-warehouse/
2018-10-08 12:24:57 INFO  metastore:291 - Mestastore configuration hive.metastore.warehouse.dir changed from /user/hive/warehouse to file:/Users/edoardo/Documents/BDMA/Data_Warehouses/Project/ddl/spark-warehouse/
2018-10-08 12:24:57 INFO  HiveMetaStore:746 - 0: Shutting down the object store...
2018-10-08 12:24:57 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=Shutting down the object store...	
2018-10-08 12:24:57 INFO  HiveMetaStore:746 - 0: Metastore shutdown complete.
2018-10-08 12:24:57 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=Metastore shutdown complete.	
2018-10-08 12:24:57 INFO  HiveMetaStore:746 - 0: get_database: default
2018-10-08 12:24:57 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=get_database: default	
2018-10-08 12:24:57 INFO  HiveMetaStore:589 - 0: Opening raw store with implemenation class:org.apache.hadoop.hive.metastore.ObjectStore
2018-10-08 12:24:57 INFO  ObjectStore:289 - ObjectStore, initialize called
2018-10-08 12:24:57 INFO  Query:77 - Reading in results for query "org.datanucleus.store.rdbms.query.SQLQuery@0" since the connection used is closing
2018-10-08 12:24:57 INFO  MetaStoreDirectSql:139 - Using direct SQL, underlying DB is DERBY
2018-10-08 12:24:57 INFO  ObjectStore:272 - Initialized ObjectStore
2018-10-08 12:24:57 INFO  StateStoreCoordinatorRef:54 - Registered StateStoreCoordinator endpoint
2018-10-08 12:24:57 INFO  HiveMetaStore:746 - 0: get_database: global_temp
2018-10-08 12:24:57 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=get_database: global_temp	
2018-10-08 12:24:57 WARN  ObjectStore:568 - Failed to get database global_temp, returning NoSuchObjectException
2018-10-08 12:24:59 INFO  HiveMetaStore:746 - 0: get_database: tpcds_db
2018-10-08 12:24:59 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=get_database: tpcds_db	
2018-10-08 12:24:59 INFO  SparkSQLCLIDriver:951 - Time taken: 1.298 seconds
2018-10-08 12:24:59 INFO  HiveMetaStore:746 - 0: get_table : db=tpcds_db tbl=web_site
2018-10-08 12:24:59 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=get_table : db=tpcds_db tbl=web_site	
2018-10-08 12:24:59 WARN  Utils:66 - Truncated the string representation of a plan since it was too large. This behavior can be adjusted by setting 'spark.debug.maxToStringFields' in SparkEnv.conf.
2018-10-08 12:24:59 INFO  FileSourceStrategy:54 - Pruning directories with: 
